IDs,final_classification,genebank_id,accession_id,start,stop,gene_description,socus,sig_seq,is_family,group,origin,bits_score,e_value,final_call
gene:plasmid:87435,plasmid,4924691,NC_009132.1,34524,35222,hypothetical protein,D616_p80040,ISEfa7,IS1182,,Enterococcus faecium,36.2,0.078,plasmid
gene:plasmid:87436,plasmid,4924692,NC_009132.1,35441,36481,hypothetical protein,D616_p80041,ISCfr3,ISNCY,ISPlu15,Citrobacter freundii,36.2,0.12,plasmid
gene:plasmid:87437,plasmid,4924693,NC_009132.1,36497,36724,hypothetical protein,D616_p80042,ISAba64,IS256,,Acinetobacter baumannii,32.2,0.38,plasmid
gene:plasmid:87438,plasmid,4924694,NC_009132.1,36732,37445,hypothetical protein,D616_p80043,ISPye29,IS1182,,Paracoccus yeei,36.2,0.079,plasmid
gene:plasmid:87439,plasmid,4924695,NC_009132.1,37463,40063,hypothetical protein,D616_p80044,ISDssp4,IS1380,,Desulfobacterium sp.,36.2,0.29,plasmid
gene:plasmid:87440,plasmid,4924696,NC_009132.1,40063,40380,hypothetical protein,D616_p80045,ISThma1,ISNCY,ISDol1,Thiocapsa marina,32.2,0.54,plasmid
gene:plasmid:87441,plasmid,4924697,NC_009132.1,40430,40723,hypothetical protein,D616_p80046,IS231K,IS4,IS231,Bacillus cereus,32.2,0.49,plasmid
gene:plasmid:87442,plasmid,4924698,NC_009132.1,40733,41014,hypothetical protein,D616_p80047,ISVpa6,IS1202,ISAba32,Vibrio parahaemolyticus,30.2,1.9,plasmid
gene:plasmid:87443,plasmid,4924699,NC_009132.1,41023,41757,hypothetical protein,D616_p80048,ISAcma19,IS4,IS10,Acaryochloris marina,36.2,0.082,plasmid
gene:plasmid:87444,plasmid,4924700,NC_009132.1,41800,42171,hypothetical protein,D616_p80049,ISThi1,IS5,IS5,Thioalkalivibrio sp.,38.2,0.01,plasmid
gene:plasmid:87445,plasmid,4924701,NC_009132.1,42187,42564,hypothetical protein,D616_p80050,ISButh5,IS5,,Burkholderia thailandensis,34.2,0.16,plasmid
gene:plasmid:87449,plasmid,4924705,NC_009132.1,45367,45612,hypothetical protein,D616_p80054,ISMbu8,ISH3,,Methanococcoides burtonii,32.2,0.41,plasmid
gene:plasmid:87450,likely IS/TE,4924706,NC_009132.1,45631,46134,hypothetical protein,D616_p80055,IS1R,IS1,,Escherichia coli,999,0,likely IS/TE
gene:plasmid:87451,likely IS/TE,4924707,NC_009132.1,46684,48384,hypothetical protein,D616_p80056,ISSen9,IS1,,Salmonella enterica,293,5.00E-79,likely IS/TE
gene:plasmid:87452,plasmid,4924708,NC_009132.1,48418,49632,hypothetical protein,D616_p80057,ISSphsp19,IS256,,Sphingobium sp.,32.2,2.1,plasmid
gene:plasmid:87453,plasmid,4924709,NC_009132.1,49871,50467,hypothetical protein,D616_p80058,ISSod9,Tn3,,Shewanella oneidensis,34.2,0.26,plasmid
gene:plasmid:87454,plasmid,4924710,NC_009132.1,52411,53130,hypothetical protein,D616_p80059,ISClsp1,IS3,IS150,Clostridium sp.,34.2,0.32,plasmid
gene:plasmid:87455,plasmid,4924711,NC_009132.1,53690,54031,hypothetical protein,D616_p80060,ISC1290,IS5,,Sulfolobus solfataricus,32.2,0.58,plasmid
gene:plasmid:87456,plasmid,4924712,NC_009132.1,54046,54873,hypothetical protein,D616_p80061,ISRel7,IS110,IS1111,Rhizobium etli,32.2,1.4,plasmid
gene:plasmid:87457,plasmid,4924713,NC_009132.1,54988,56253,hypothetical protein,D616_p80062,ISCysp20,IS701,ISAba11,Cyanothece sp.,32.2,2.2,plasmid
gene:plasmid:87458,plasmid,4924714,NC_009132.1,56241,56681,hypothetical protein,D616_p80063,ISPa139,IS5,IS5,Pseudomonas aeruginosa,32.2,0.75,plasmid
gene:plasmid:87463,likely IS/TE,4924719,NC_009132.1,59564,60121,hypothetical protein,D616_p80067,Tn2,Tn3,,Escherichia coli,1106,0,likely IS/TE
gene:plasmid:87468,plasmid,5236146,NC_009596.1,93345,93965,putative resolvase,YPE_4337,ISAwo1,IS1595,IS1595,Aliivibrio wodanis,32.2,1.1,plasmid
gene:plasmid:87469,likely IS/TE,5236147,NC_009596.1,92338,93324,hypothetical protein,YPE_4336,ISSen7,ISNCY,ISPlu15,Salmonella enterica,178,1.00E-44,likely IS/TE
gene:plasmid:87476,likely IS/TE,5236155,NC_009596.1,85873,86895,putative transposase,YPE_4327,IS1618,IS110,IS1111,Yersinia pestis,2028,0,likely IS/TE
gene:plasmid:87485,plasmid,5236164,NC_009596.1,73524,75890,putative porphyrin biosynthetic protein,YPE_4318,ISSusp5,IS1202,ISAba32,Sulfitobacter sp.,36.2,0.27,plasmid
gene:plasmid:87493,plasmid,5236172,NC_009596.1,57798,62435,putative phage tail protein,YPE_4310,ISLpn9,IS4,IS10,Legionella pneumophila,36.2,0.52,plasmid
gene:plasmid:87495,plasmid,5236174,NC_009596.1,56410,57207,putative phage tail protein,YPE_4308,ISFal3B,IS5,IS1031,Frankia alni,34.2,0.35,plasmid
gene:plasmid:87497,plasmid,5236176,NC_009596.1,55294,55629,putative phage tail protein,YPE_4306,ISHvo23,IS200/IS605,IS1341,Haloferax volcanii,32.2,0.57,plasmid
gene:plasmid:87498,plasmid,5236177,NC_009596.1,50675,55252,hypothetical protein,YPE_4305,ISPg4,IS4,IS4Sa,Porphyromonas gingivalis,36.2,0.52,plasmid
gene:plasmid:87499,plasmid,5236178,NC_009596.1,50398,50667,hypothetical protein,YPE_4304,ISRor7,Tn3,,Raoultella ornithinolytica,32.2,0.45,plasmid
gene:plasmid:87501,plasmid,5236180,NC_009596.1,49194,49940,hypothetical protein,YPE_4302,ISPa63,IS21,,Pseudomonas aeruginosa,32.2,1.3,plasmid
gene:plasmid:87504,plasmid,5236183,NC_009596.1,47812,48270,hypothetical protein,YPE_4299,ISPa42,Tn3,,Pseudomonas aeruginosa,32.2,0.79,plasmid
gene:plasmid:87506,plasmid,5236185,NC_009596.1,46561,46995,hypothetical protein,YPE_4297,ISAzo26,IS91,,Azoarcus sp.,38.2,0.012,plasmid
gene:plasmid:87508,plasmid,5236187,NC_009596.1,44905,45780,hypothetical protein,YPE_4295,ISSiac3,ISAzo13,,Singulisphaera acidiphila,36.2,0.098,plasmid
gene:plasmid:87509,plasmid,5236188,NC_009596.1,44045,44878,hypothetical protein,YPE_4294,ISAzba5,IS5,IS427,Azospirillum brasilense,36.2,0.093,plasmid
gene:plasmid:87512,plasmid,5236191,NC_009596.1,40514,41155,hypothetical protein,YPE_4291,ISArsp6,Tn3,,Arthrobacter sp.,34.2,0.28,plasmid
gene:plasmid:87516,plasmid,5236195,NC_009596.1,38201,38899,putative ABC transporter ATP-binding protein,YPE_4287,TnShfr1,Tn3,,Shewanella frigidimarina,36.2,0.078,plasmid
gene:plasmid:87523,plasmid,5236202,NC_009596.1,33007,33657,hypothetical protein,YPE_4280,ISMae37,ISL3,,Microcystis aeruginosa,34.2,0.29,plasmid
gene:plasmid:87539,plasmid,5236218,NC_009596.1,20128,20307,hypothetical protein,YPE_4264,ISBsp5,IS1182,,Bacillus sp.,32.2,0.29,plasmid
gene:plasmid:87541,plasmid,5236220,NC_009596.1,19334,19744,hypothetical protein,YPE_4262,ISMpo10,Tn3,,Methylobacterium populi,32.2,0.7,plasmid
gene:plasmid:87551,plasmid,5236230,NC_009596.1,12190,12633,hypothetical protein,YPE_4252,ISKpn85,IS200/IS605,IS605,Klebsiella pneumoniae,30.2,3,plasmid
gene:plasmid:87554,plasmid,5236233,NC_009596.1,7704,9713,putative DNA-binding protein,YPE_4249,ISNpe31,IS200/IS605,IS1341,Natrinema pellirubrum,38.2,0.057,plasmid
gene:plasmid:87558,plasmid,5236237,NC_009596.1,4459,4950,hypothetical protein,YPE_4245,ISHhu11,IS200/IS605,IS1341,Halobacterium hubeiense,34.2,0.21,plasmid
gene:plasmid:87563,plasmid,5236242,NC_009596.1,12,983,putative partitioning protein B,YPE_4240,ISPa11,IS110,IS1111,Pseudomonas aeruginosa,36.2,0.11,plasmid
gene:plasmid:87647,plasmid,5159290,NC_009469.1,21308,23344,"K+-transporting ATPase, B subunit",Acry_3489,ISBsa1,IS256,,Blastococcus saxobsidens,40.1,0.015,plasmid
gene:plasmid:87654,likely IS/TE,5159297,NC_009469.1,43113,44711,integrase catalytic subunit,Acry_3509,ISBmu7,IS21,,Burkholderia multivorans,127,6.00E-29,likely IS/TE
gene:plasmid:87713,plasmid,4991518,NC_009347.1,702,1667,hypothetical protein,SSON_PC01,ISDess1,IS1595,ISPna2,Desulfosporosinus sp.,36.2,0.11,plasmid
gene:plasmid:87776,plasmid,4947991,NC_009230.1,44460,45227,ABC transporter related,Bcep1808_6667,IS1247,IS1380,,Xanthobacter autotrophicus,38.2,0.022,plasmid
gene:plasmid:88298,plasmid,5342956,NC_009649.1,68183,68710,N-acetyltransferase-like protein,KPN_pKPN3p05928,ISSph3,IS5,IS1031,Sphingopyxis sp.,32.2,0.91,plasmid
gene:plasmid:88299,plasmid,5342957,NC_009649.1,68760,69164,hypothetical protein,KPN_pKPN3p05929,ISPa78,IS3,IS51,Pseudomonas aeruginosa,32.2,0.69,plasmid
gene:plasmid:88300,likely IS/TE,5342958,NC_009649.1,69331,70146,putative transposase,KPN_pKPN3p05930,ISEc38,ISL3,,Escherichia coli,143,5.00E-34,likely IS/TE
gene:plasmid:88301,likely IS/TE,5342959,NC_009649.1,70154,70951,putative transposase,KPN_pKPN3p05931,ISEc38,ISL3,,Escherichia coli,93.7,4.00E-19,likely IS/TE
gene:plasmid:88302,plasmid,5342960,NC_009649.1,71012,71191,hypothetical protein,KPN_pKPN3p05932,ISMex31,IS110,IS1111,Methylobacterium extorquens,30.2,1.2,plasmid
gene:plasmid:88303,plasmid,5342961,NC_009649.1,71423,71857,copper-binding protein,KPN_pKPN3p05933,ISAzo17,IS21,,Azoarcus sp.,36.2,0.048,plasmid
gene:plasmid:88305,likely IS/TE,5342963,NC_009649.1,73402,73905,putative transposase,KPN_pKPN3p05935,ISKpn14,IS1,,Klebsiella pneumoniae,999,0,likely IS/TE
gene:plasmid:88308,plasmid,5342966,NC_009649.1,74983,75912,copper resistant protein PcoD,KPN_pKPN3p05938,ISSse1,IS3,IS3,Shewanella sediminis,32.2,1.6,plasmid
gene:plasmid:88312,plasmid,5342970,NC_009649.1,79284,79733,copper resistant protein PcoE,KPN_pKPN3p05942,ISHam1,IS630,,Haloarcula amylolytica,34.2,0.19,plasmid
gene:plasmid:88313,plasmid,5342971,NC_009649.1,80022,80759,hypothetical protein,KPN_pKPN3p05943,ISTvo2,ISNCY,ISA1214,Thermoplasma volcanium,32.2,1.3,plasmid
gene:plasmid:88314,plasmid,5342972,NC_009649.1,80793,80990,hypothetical protein,KPN_pKPN3p05944,ISAzs20,IS66,,Azospirillum sp.,36.2,0.021,plasmid
gene:plasmid:88316,plasmid,5342974,NC_009649.1,83605,84045,exported protein (silver resistance),KPN_pKPN3p05946,ISWpi1,IS5,IS1031,Wolbachia pipientis,34.2,0.19,plasmid
gene:plasmid:88319,plasmid,5342977,NC_009649.1,89076,90617,copper/silver efflux system outer membrane protein CusC,KPN_pKPN3p05949,ISAju2,IS1202,ISAba32,Acinetobacter junii,34.2,0.68,plasmid
gene:plasmid:88320,plasmid,5342978,NC_009649.1,90648,91331,DNA-binding transcriptional activator CusR,KPN_pKPN3p05950,ISPcc3,IS4,IS4,Pectobacterium carotovorum,34.2,0.3,plasmid
gene:plasmid:88322,plasmid,5342980,NC_009649.1,92920,93468,silver binding protein precursor SilE,KPN_pKPN3p05952,ISAbe16,IS3,IS150,Acinetobacter bereziniae,38.2,0.015,plasmid
gene:plasmid:88323,likely IS/TE,5342981,NC_009649.1,93764,94168,putative transposase,KPN_pKPN3p05953,ISKpn25,ISL3,,Klebsiella pneumoniae,771,0,likely IS/TE
gene:plasmid:88325,likely IS/TE,5342983,NC_009649.1,94870,95265,hypothetical protein,KPN_pKPN3p05955,ISEcl1,IS3,IS2,Enterobacter cloacae,737,0,likely IS/TE
gene:plasmid:88326,likely IS/TE,5342984,NC_009649.1,95223,96104,putative transposase,KPN_pKPN3p05956,ISEcl1,IS3,IS2,Enterobacter cloacae,1622,0,likely IS/TE
gene:plasmid:88327,likely IS/TE,5342985,NC_009649.1,96489,96992,putative transposase,KPN_pKPN3p05957,IS1X2,IS1,,Escherichia vulneris,952,0,likely IS/TE
gene:plasmid:88328,plasmid,5342986,NC_009649.1,97138,99141,secondary glycine betaine transporter BetU,KPN_pKPN3p05958,ISVisp7,IS1202,ISTde1,Vibrio splendidus,34.2,0.89,plasmid
gene:plasmid:88329,plasmid,5342987,NC_009649.1,99204,100481,hypothetical protein,KPN_pKPN3p05959,IS1151,IS4,IS231,Clostridium perfringens,36.2,0.14,plasmid
gene:plasmid:88330,plasmid,5342988,NC_009649.1,101333,101434,hypothetical protein,KPN_pKPN3p05960,ISKpn52,IS3,IS3,Klebsiella pneumoniae,34.2,0.039,plasmid
gene:plasmid:88331,plasmid,5342989,NC_009649.1,101464,102918,hypothetical protein,KPN_pKPN3p05961,IS607,IS607,,Helicobacter pylori,34.2,0.65,plasmid
gene:plasmid:88332,likely IS/TE,5342990,NC_009649.1,103105,103500,hypothetical protein,KPN_pKPN3p05962,ISEcl1,IS3,IS2,Enterobacter cloacae,737,0,likely IS/TE
gene:plasmid:88333,likely IS/TE,5342991,NC_009649.1,103458,104339,hypothetical protein,KPN_pKPN3p05963,ISEcl1,IS3,IS2,Enterobacter cloacae,1622,0,likely IS/TE
gene:plasmid:88334,plasmid,5342992,NC_009649.1,104872,105129,hypothetical protein,KPN_pKPN3p05964,ISCni2,ISNCY,ISFsi2,Calditerrivibrio nitroreducens,32.2,0.43,plasmid
gene:plasmid:88336,plasmid,5342994,NC_009649.1,106931,107101,hypothetical protein,KPN_pKPN3p05966,ISLsa2,IS3,IS150,Lactobacillus sakei,34.2,0.07,plasmid
gene:plasmid:88337,plasmid,5342995,NC_009649.1,107128,108084,hypothetical protein,KPN_pKPN3p05967,ISUnCu20,ISKra4,ISKra4,Uncultured Nitrospirae,34.2,0.42,plasmid
gene:plasmid:88338,plasmid,5342996,NC_009649.1,109219,109959,integrase,KPN_pKPN3p05968,ISMma14,IS66,ISBst12,Methanosarcina mazei,40.1,0.005,plasmid
gene:plasmid:88339,plasmid,5342997,NC_009649.1,110676,111686,DNA replication,KPN_pKPN3p05969,ISMyba1,IS1202,ISTde1,Myxococcales bacterium,32.2,1.8,plasmid
gene:plasmid:88340,plasmid,5342998,NC_009649.1,112438,113604,plasmid-partitioning protein SopA,KPN_pKPN3p05970,ISEnca1,IS1380,,Enterococcus casseliflavus,36.2,0.13,plasmid
gene:plasmid:88341,plasmid,5342999,NC_009649.1,113604,114575,plasmid-partitioning protein,KPN_pKPN3p05971,ISAzs18,IS66,,Azospirillum sp.,34.2,0.43,plasmid
gene:plasmid:88343,plasmid,5343001,NC_009649.1,117527,118798,DNA polymerase V subunit UmuC,KPN_pKPN3p05973,ISCade1,IS1202,ISTde1,Castellaniella defragrans,32.2,2.2,plasmid
gene:plasmid:88344,plasmid,5343002,NC_009649.1,118798,119223,umuDC operon protein-like protein,KPN_pKPN3p05974,ISXc8,IS3,IS3,Xanthomonas campestris,36.2,0.047,plasmid
gene:plasmid:88345,plasmid,5343003,NC_009649.1,119842,121113,putative reverse transcriptase,KPN_pKPN3p05975,ISKpn34,IS3,IS407,Klebsiella pneumoniae,38.2,0.036,plasmid
gene:plasmid:88346,plasmid,5343004,NC_009649.1,121347,121577,hypothetical protein,KPN_pKPN3p05976,IS2000,IS5,IS5,Pseudomonas aeruginosa,30.2,1.5,plasmid
gene:plasmid:88347,plasmid,5343005,NC_009649.1,122044,122523,hypothetical protein,KPN_pKPN3p05977,ISMyo2,IS21,,Mycobacterium yongonense,34.2,0.21,plasmid
gene:plasmid:88348,plasmid,5343006,NC_009649.1,122760,123014,putative inner membrane protein,KPN_pKPN3p05978,ISNiba4,IS1202,ISTde1,Nitrospirae bacterium,30.2,1.7,plasmid
gene:plasmid:88349,plasmid,5343007,NC_009649.1,123055,123366,hypothetical protein,KPN_pKPN3p05979,ISPa157,IS3,IS3,Pseudomonas aeruginosa,30.2,2.1,plasmid
gene:plasmid:88350,plasmid,5343008,NC_009649.1,124148,124375,hypothetical protein,KPN_pKPN3p05980,ISPlpa1,IS1380,,Plesiocystis pacifica,34.2,0.095,plasmid
gene:plasmid:88351,plasmid,5343009,NC_009649.1,124749,126104,hypothetical protein,KPN_pKPN3p05981,ISMtsp5,IS3,IS2,Methylobacterium sp.,40.1,0.01,plasmid
gene:plasmid:88352,plasmid,5343010,NC_009649.1,126152,126715,hypothetical protein,KPN_pKPN3p05982,ISKpn25,ISL3,,Klebsiella pneumoniae,34.2,0.25,plasmid
gene:plasmid:88353,plasmid,5343011,NC_009649.1,127491,128033,single-strand binding protein,KPN_pKPN3p05983,ISSyth3,ISLre2,,Symbiobacterium thermophilum,38.2,0.015,plasmid
gene:plasmid:88354,plasmid,5343012,NC_009649.1,128082,128330,hypothetical protein,KPN_pKPN3p05984,ISPsy42,Tn3,,Pseudomonas syringae,32.2,0.41,plasmid
gene:plasmid:88355,plasmid,5343013,NC_009649.1,128400,130436,parB-like nuclease domain-containing protein,KPN_pKPN3p05985,ISBrsp9,IS1182,,Bradyrhizobium sp.,40.1,0.015,plasmid
gene:plasmid:88356,plasmid,5343014,NC_009649.1,130503,130934,plasmid SOS inhibition protein B,KPN_pKPN3p05986,ISDesu1,ISNCY,ISDol1,Desulfuromonas sp.,32.2,0.74,plasmid
gene:plasmid:88357,plasmid,5343015,NC_009649.1,130931,131659,plasmid SOS inhibition protein A,KPN_pKPN3p05987,ISAs23,IS1595,ISPna2,Aeromonas salmonicida,34.2,0.32,plasmid
gene:plasmid:88358,plasmid,5343016,NC_009649.1,131656,131982,hypothetical protein,KPN_pKPN3p05988,ISBos1,IS1595,ISNha5,Bosea sp.,32.2,0.55,plasmid
gene:plasmid:88359,plasmid,5343017,NC_009649.1,132011,132412,hypothetical protein,KPN_pKPN3p05989,TnBth2,Tn3,,Bacillus thuringiensis,34.2,0.17,plasmid
gene:plasmid:88360,likely IS/TE,5343018,NC_009649.1,132590,133669,hypothetical protein,KPN_pKPN3p05990,ISKpn28,IS481,,Klebsiella pneumoniae,2058,0,likely IS/TE
gene:plasmid:88361,plasmid,5343019,NC_009649.1,134952,135221,hypothetical protein,KPN_pKPN3p05991,ISBsu3,IS1595,ISPna2,Bacillus subtilis,30.2,1.8,plasmid
gene:plasmid:88362,plasmid,5343020,NC_009649.1,135857,136213,hypothetical protein,KPN_pKPN3p05992,ISRpa9,IS5,IS5,Rhodopseudomonas palustris,32.2,0.6,plasmid
gene:plasmid:88363,plasmid,5343021,NC_009649.1,136274,136486,hypothetical protein,KPN_pKPN3p05993,ISAfe13,ISKra4,ISAzba1,Acidithiobacillus ferrivorans,32.2,0.35,plasmid
gene:plasmid:88364,plasmid,5343022,NC_009649.1,136497,136721,hypothetical protein,KPN_pKPN3p05994,ISSsu8,IS481,,Streptococcus suis,30.2,1.5,plasmid
gene:plasmid:88365,plasmid,5343023,NC_009649.1,136802,137122,hypothetical protein,KPN_pKPN3p05995,ISSma29,IS66,,Serratia marcescens,30.2,2.1,plasmid
gene:plasmid:88366,plasmid,5343024,NC_009649.1,137112,137390,hypothetical protein,KPN_pKPN3p05996,ISDebc4,IS1202,ISTde1,Deltaproteobacteria bacterium,30.2,1.8,plasmid
gene:plasmid:88367,plasmid,5343025,NC_009649.1,137391,137804,putative DNA-binding protein,KPN_pKPN3p05997,ISArsp6,Tn3,,Arthrobacter sp.,36.2,0.045,plasmid
gene:plasmid:88368,plasmid,5343026,NC_009649.1,138638,139459,hypothetical protein,KPN_pKPN3p05998,ISCasp2,ISKra4,ISKra4,Calothrix sp.,32.2,1.4,plasmid
gene:plasmid:88369,plasmid,5343027,NC_009649.1,139492,139821,hypothetical protein,KPN_pKPN3p05999,ISWosp5,IS4,IS231,Wolbachia sp.,32.2,0.56,plasmid
gene:plasmid:88370,plasmid,5343028,NC_009649.1,139854,140339,lytic transglycosylase-like protein,KPN_pKPN3p06000,ISAlw8,IS4,IS50,Acinetobacter lwoffii,30.2,3.3,plasmid
gene:plasmid:88371,plasmid,5343029,NC_009649.1,140767,141165,conjugal transfer protein TraM,KPN_pKPN3p06001,ISShfr5,IS21,,Shewanella frigidimarina,34.2,0.17,plasmid
gene:plasmid:88372,plasmid,5343030,NC_009649.1,141388,142074,conjugal transfer transcriptional regulator TraJ,KPN_pKPN3p06002,MICBce4,IS4,IS231,Bacillus cereus,36.2,0.076,plasmid
gene:plasmid:88373,plasmid,5343031,NC_009649.1,142158,142529,conjugal transfer protein TraY,KPN_pKPN3p06003,ISTde2,IS30,,Treponema denticola,32.2,0.63,plasmid
gene:plasmid:88374,plasmid,5343032,NC_009649.1,142643,142951,conjugal transfer pilin subunit TraA,KPN_pKPN3p06004,ISArsp9,ISNCY,,Arthrobacter sp.,36.2,0.033,plasmid
gene:plasmid:88375,plasmid,5343033,NC_009649.1,142965,143270,conjugal transfer pilus assembly protein TraL,KPN_pKPN3p06005,ISSba4,IS3,IS3,Shewanella baltica,30.2,2,plasmid
gene:plasmid:88376,plasmid,5343034,NC_009649.1,143290,143856,conjugal transfer pilus assembly protein TraE,KPN_pKPN3p06006,ISFpe1,IS66,,Fulvimarina pelagi,36.2,0.063,plasmid
gene:plasmid:88377,plasmid,5343035,NC_009649.1,143843,144583,conjugal transfer protein TraK,KPN_pKPN3p06007,ISRm14,IS66,,Sinorhizobium meliloti,36.2,0.082,plasmid
gene:plasmid:88378,plasmid,5343036,NC_009649.1,144583,146007,conjugal transfer pilus assembly protein TraB,KPN_pKPN3p06008,ISSma17,IS21,,Serratia marcescens,34.2,0.63,plasmid
gene:plasmid:88379,plasmid,5343037,NC_009649.1,146000,146596,conjugal transfer protein TraP,KPN_pKPN3p06009,ISPa60,ISAs1,,Pseudomonas aeruginosa,30.2,4.1,plasmid
gene:plasmid:88380,plasmid,5343038,NC_009649.1,146619,147188,conjugal transfer protein TraV,KPN_pKPN3p06010,ISClj1,IS1202,IS1202,Clostridium ljungdahlii,34.2,0.25,plasmid
gene:plasmid:88381,plasmid,5343039,NC_009649.1,147320,147730,hypothetical protein,KPN_pKPN3p06011,ISPye2,IS5,IS5,Paracoccus yeei,34.2,0.18,plasmid
gene:plasmid:88382,plasmid,5343040,NC_009649.1,147735,148025,hypothetical protein,KPN_pKPN3p06012,ISMdi27,IS21,,Methylobacterium dichloromethanicum,32.2,0.49,plasmid
gene:plasmid:88383,plasmid,5343041,NC_009649.1,148049,148267,hypothetical protein,KPN_pKPN3p06013,ISDsac1,ISNCY,ISDol1,Desulfosporosinus acidiphilus,38.2,0.006,plasmid
gene:plasmid:88384,plasmid,5343042,NC_009649.1,148268,148585,hypothetical protein,KPN_pKPN3p06014,ISCbe5,ISNCY,,Caldicellulosiruptor bescii,34.2,0.14,plasmid
gene:plasmid:88385,plasmid,5343043,NC_009649.1,148652,149056,hypothetical protein,KPN_pKPN3p06015,ISPye9,IS66,,Paracoccus yeei,32.2,0.69,plasmid
gene:plasmid:88386,plasmid,5343044,NC_009649.1,149087,149344,hypothetical protein,KPN_pKPN3p06016,ISIpo1,IS1202,IS1202,Intestinibaculum porci,32.2,0.43,plasmid
gene:plasmid:88387,plasmid,5343045,NC_009649.1,149352,149750,hypothetical protein,KPN_pKPN3p06017,ISMst1,ISNCY,ISM1,Methanosphaera stadtmanae,34.2,0.17,plasmid
gene:plasmid:88388,plasmid,5343046,NC_009649.1,152460,152849,inner membrane protein,KPN_pKPN3p06018,ISUnCu7,ISKra4,ISAzba1,uncultured bacterium,36.2,0.042,plasmid
gene:plasmid:88389,plasmid,5343047,NC_009649.1,152849,153475,conjugal transfer pilus assembly protein TraW,KPN_pKPN3p06019,ISMex38,Tn3,,Methylobacterium extorquens,36.2,0.069,plasmid
gene:plasmid:88390,plasmid,5343048,NC_009649.1,153486,154478,conjugal transfer pilus assembly protein TraU,KPN_pKPN3p06020,IS1631,IS21,,Bradyrhizobium japonicum,34.2,0.44,plasmid
gene:plasmid:88391,plasmid,5343049,NC_009649.1,154500,155129,conjugal transfer pilus assembly protein TrbC,KPN_pKPN3p06021,ISNiba2,IS1202,ISTde1,Nitrospirae bacterium,38.2,0.018,plasmid
gene:plasmid:88392,plasmid,5343050,NC_009649.1,155188,157143,conjugal transfer mating pair stabilization protein TraN,KPN_pKPN3p06022,ISArch23,IS5,IS903,Uncultured archaeon,34.2,0.87,plasmid
gene:plasmid:88393,plasmid,5343051,NC_009649.1,157175,157429,conjugal transfer protein TrbE,KPN_pKPN3p06023,ISCph13,IS5,IS5,Chlorobium phaeobacteroides,30.2,1.7,plasmid
gene:plasmid:88394,plasmid,5343052,NC_009649.1,157407,157655,hypothetical protein,KPN_pKPN3p06024,ISSfl1,IS4,IS10,Shigella flexneri,34.2,0.1,plasmid
gene:plasmid:88395,plasmid,5343053,NC_009649.1,157668,157994,hypothetical protein,KPN_pKPN3p06025,ISPrmu1,IS1595,,Prevotella multisaccharivorax,32.2,0.55,plasmid
gene:plasmid:88396,plasmid,5343054,NC_009649.1,158015,158767,conjugal pilus assembly protein TraF,KPN_pKPN3p06026,ISPa43,Tn3,,Pseudomonas aeruginosa,34.2,0.33,plasmid
gene:plasmid:88397,plasmid,5343055,NC_009649.1,158736,159017,conjugal transfer pilin chaperone TraQ,KPN_pKPN3p06027,ISBli27,ISAs1,,Brevibacterium linens,34.2,0.12,plasmid
gene:plasmid:88398,plasmid,5343056,NC_009649.1,158959,159546,conjugal transfer protein TrbB,KPN_pKPN3p06028,ISSphsp19,IS256,,Sphingobium sp.,34.2,0.26,plasmid
gene:plasmid:88399,plasmid,5343057,NC_009649.1,159592,160035,conjugal transfer protein TrbF,KPN_pKPN3p06029,ISSma31,IS200/IS605,IS1341,Serratia marcescens,32.2,0.76,plasmid
gene:plasmid:88400,plasmid,5343058,NC_009649.1,160013,161392,conjugal transfer pilus assembly protein TraH,KPN_pKPN3p06030,ISHahy10,IS30,,Halanaerobium hydrogeniformans,32.2,2.4,plasmid
gene:plasmid:88401,plasmid,5343059,NC_009649.1,161392,164241,conjugal transfer mating pair stabilization protein TraG,KPN_pKPN3p06031,ISLmo7,IS21,,Listeria monocytogenes,36.2,0.32,plasmid
gene:plasmid:88402,plasmid,5343060,NC_009649.1,164254,164802,conjugal transfer entry exclusion protein TraS,KPN_pKPN3p06032,ISCfr3,ISNCY,ISPlu15,Citrobacter freundii,30.2,3.7,plasmid
gene:plasmid:88403,plasmid,5343061,NC_009649.1,164962,165717,conjugal transfer surface exclusion protein TraT,KPN_pKPN3p06033,ISAve5,IS21,,Aeromonas veronii,32.2,1.3,plasmid
gene:plasmid:88404,plasmid,5343062,NC_009649.1,166215,166598,hypothetical protein,KPN_pKPN3p06034,ISBmu7,IS21,,Burkholderia multivorans,32.2,0.65,plasmid
gene:plasmid:88405,plasmid,5343063,NC_009649.1,166727,169039,conjugal transfer protein TraD,KPN_pKPN3p06035,IS1554,IS256,,Mycobacterium tuberculosis,36.2,0.26,plasmid
gene:plasmid:88406,plasmid,5343064,NC_009649.1,169039,174300,conjugal transfer nickase/helicase TraI,KPN_pKPN3p06036,ISMch5,IS3,IS51,Methylobacterium chloromethanicum,38.2,0.15,plasmid
gene:plasmid:88407,plasmid,5343065,NC_009649.1,174380,175105,F pilin acetylation,KPN_pKPN3p06037,ISPa25,IS110,IS1111,Pseudomonas aeruginosa,36.2,0.081,plasmid
gene:plasmid:88408,plasmid,5343066,NC_009649.1,175263,175859,conjugal transfer fertility inhibition protein FinO,KPN_pKPN3p06038,ISAzo10,IS3,IS3,Azoarcus sp.,34.2,0.26,plasmid
